Run dir: /root/autodl-tmp/hwnas/results/backbone_nksid_av7k325_gpu_formal_structured_20260329_011516
Using device: cuda
Dataset: nksid
Image size: 224
Input channels: 1
Board: ALINX AV7K325 (XC7K325T-2FFG900I) @ 200MHz
[NKSID] 加载完成: 2097 张图片, 8 个类别
  折数: 0, 划分: train
[NKSID] 加载完成: 520 张图片, 8 个类别
  折数: 0, 划分: val
Backbone candidates: ['simplecnn', 'mobilenet_v2_pretrained', 'mobilenet_v2_scratch', 'fbnet_like', 'shufflenet_v2', 'efficientnet_b0']

=== Backbone: SimpleCNN (simplecnn) ===
Complexity: params=106,056, macs=122,913,408, cpu_latency=36.84ms, fpga_latency=7.27ms
Hardware: DSP=256, BRAM=19, LUT=5096, power=6.93W, feasible=True
Epoch 1/240: train_loss=1.9899, train_acc=0.4540, val_loss=1.9234, val_top1=0.3538, val_macro_f1=0.1714, lr=0.000200
Epoch 2/240: train_loss=1.6937, train_acc=0.5637, val_loss=1.3782, val_top1=0.5808, val_macro_f1=0.4923, lr=0.000360
Epoch 3/240: train_loss=1.4224, train_acc=0.5341, val_loss=1.0987, val_top1=0.6577, val_macro_f1=0.4883, lr=0.000520
Epoch 4/240: train_loss=1.2486, train_acc=0.5980, val_loss=1.0759, val_top1=0.6154, val_macro_f1=0.4566, lr=0.000680
Epoch 5/240: train_loss=1.1793, train_acc=0.6147, val_loss=0.8934, val_top1=0.6788, val_macro_f1=0.5104, lr=0.000840
Epoch 6/240: train_loss=1.0564, train_acc=0.6562, val_loss=1.0801, val_top1=0.6096, val_macro_f1=0.5007, lr=0.001000
Epoch 7/240: train_loss=0.9064, train_acc=0.6867, val_loss=0.7150, val_top1=0.7212, val_macro_f1=0.5804, lr=0.001000
Epoch 8/240: train_loss=0.9319, train_acc=0.6915, val_loss=1.2418, val_top1=0.5962, val_macro_f1=0.4750, lr=0.001000
Epoch 9/240: train_loss=0.8725, train_acc=0.7139, val_loss=0.7248, val_top1=0.7250, val_macro_f1=0.5644, lr=0.001000
Epoch 10/240: train_loss=0.8567, train_acc=0.7058, val_loss=0.7620, val_top1=0.7038, val_macro_f1=0.5986, lr=0.000999
Epoch 11/240: train_loss=0.8473, train_acc=0.7158, val_loss=0.7851, val_top1=0.7288, val_macro_f1=0.5691, lr=0.000999
Epoch 12/240: train_loss=0.8037, train_acc=0.7349, val_loss=0.7735, val_top1=0.7212, val_macro_f1=0.5598, lr=0.000998
